career_objective,skills,educational_institution_name,degree_names,major_field_of_studies,professional_company_names,start_dates,end_dates,candidate_experience_years,positions,responsibilities,certification_skills,job_position_name,educationaL_requirements,experiencere_requirement,required_experience_years,skills_required,age_requirement,skills_required_data_available,skill_match,required_skill_coverage,experience_fit,education_match,certification_match,project_relevance,semantic_similarity,matched_score
,artificial intelligence; deep learning; neural networks; power bi; python; r; sas; sql; tableau,['NARSEE MONJEE INSTITUTE'],BCA,,['DENA FUNDS'],APR 2020,TILL DATE,3.75,BUSINESS ANALYST,"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",,Asst. Manager/ Manger (Administrative),Bachelor/Honors,At least 5 years,5.0,administration; health safety and environment; safety and security management,Age at least 28 years,True,0.0,0.0,0.5622,1.0,0.0,0.0732,0.1513,0.2455
,business analysis; business intelligence; data analytics; graphql; linear regression; logistic regression; python,['Raja Kashwant Singh General College'],B.A,Economics,"['D&D Consultancy', 'Tanisha Quromba Brokerage']",Jul 2020; Dec 2019,till date; May 2020,3.92,Associate Consultant; Junior Analyst Intern,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,At least 5 year(s),5.0,,,False,0.4825,0.4825,0.6035,0.5,0.0,0.0556,0.193,0.4192
"Energetic, innovative engineering undergraduate, passionate about Machine Learning, NLP and Deep Learning for solving real-world problems, aiming to work in an organization providing great learning experience and growth opportunities for mutual benefit.",c; c++; code blocks; css; data structures; google colab; html; java; javascript; jupyter notebook; keras; matlab; ms office; numpy; opencv; pycharm; pytesseract; python; scikitlearn; sql; tensorflow; turbo c++,"['Dayalbagh Educational Institute, Dayalbagh, Agra', ""St. Clare's Senior Secondary School, Agra"", ""St. Clare's Senior Secondary School, Agra""]",B.Tech. (Electrical Engineering Specialization in Computer Science); XII; X,Electrical Engineering Specialized in Computer Science,"['Genisup India Pvt. Ltd.', 'VUGS Technologies']",July 2021; May 2021,Aug 2021; June 2021,0.17,Intern; Intern,"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",computer vision; data science; deep learning; gans; machine learning; neural networks; opencv; python; r; ssd,Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,At least 5 years,5.0,autocad; solidworks,Age at least 24 years,True,0.0,0.0,0.0346,1.0,0.0,0.0,0.008,0.1556
"Soon-to-be Computer Science graduate eager to continue exploring the inspiring, innovative field of Android Development. As a seasoned intern, I am looking to join an Android Development team with AT&T as a junior developer.",css; html; java; javascript; kotlin; react native; rest apis; spring; sql,['University of Santa Clara'],Bachelor of Science,Computer Science,"['Genesis10', 'Novalsys, Inc']",May 2021; January 2021,current; May 2021,3.0,Android Developer Intern; Android Developer Intern,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,2.0,maintenance and troubleshooting; mechanical,Age 25 to 40 years,True,0.0,0.0,0.9241,0.9,0.0,0.1667,0.0478,0.2843
,artificial intelligence; data modeling; data validation; data visualization; deep learning; machine learning; matplotlib; method development; mongodb; plotly; python; seaborn; sql,['CDAC ACTS'],B.Tech,Electronics and Telecommunication,['BlueM Solutions'],Jun 2020,till date,3.58,Associate Software Engineer and Analyst,"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",,Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,At least 1 year,1.0,asp.net mvc strong understanding of database design; database administrator dba; database management; elasticsearch; mongodb; mysql database; nosql database; redis,Age 25 to 40 years,True,0.0667,0.125,0.9834,1.0,0.0,0.0652,0.2205,0.3568
,budget; database; dec; documentation; hardware; inspection; logistics; maintain documentation; meetings; microsoft excel; microsoft office; microsoft powerpoint; network; network systems; networking; operating systems; oracle; outlook; personnel; presentations; progress; quality; routers; safety; scheduling; shipping; spreadsheets; supervision,['University of Phoenix Texas'],Business Administration,Business Administration,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",01/2014; 12/2012; 01/2011; 07/2004,Current; 12/2013; 12/2010,0.0,Engineering Technician; Consultant; Engineering Technician; Manufacturing Lead,"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,4 to 5 years,4.0,cisco; linux; operation maintenance of server,,True,0.0,0.0,0.0759,0.2,0.0,0.0862,0.1108,0.0512
"Machine Learning Engineer seeking assignments Deep Learning, Reinforcement Learning, Tensorflow. Keras.",artificial intelligence; deep learning; matplotlib; numpy; pandas; reinforcement learning; scikit learn; tensorflow keras,"['IIIT D&M Kancheepuram, Chennai']",B.Tech(IT),Information Technology,['Larsen & Toubro'],Dec 2019,Till Date,4.08,Analyst Intern,"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),At least 3 years,3.0,brand promotion; campaign management; field supervision; merchandising; promotional activities; trade marketing,,True,0.0,0.0,0.9296,0.5,0.0,0.1852,0.2061,0.234
"Soon-to-be Computer Science graduate eager to continue exploring the inspiring, innovative field of Android Development. As a seasoned intern, I am looking to join an Android Development team with AT&T as a junior developer.",css; html; java; javascript; kotlin; react native; rest apis; spring; sql,['University of Santa Clara'],Bachelor of Science,Computer Science,"['Genesis10', 'Novalsys, Inc']",May 2021; January 2021,current; May 2021,3.0,Android Developer Intern; Android Developer Intern,"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",,Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,5 to 10 years,5.0,auto cad 2d 3d; civil 3d; civil construction; civil engineering,Age 30 to 40 years,True,0.0,0.0,0.3775,1.0,0.0,0.0312,0.0116,0.2088
,catboost; classification; data science; decision trees; deep learning; loss optimization; machine learning; matplotlib; numpy; opencv; pandas; python; random forest; regression; scikit learn; xgboost,"['Raja Birsimbal College, Ranchi']",B.Tech,CSE,['TML Infotech'],Mar 2019,till date,4.84,Junior Machine Learning And Deep Learning Engineer,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,3.0,,Age at most 40 years,False,0.0875,0.0875,0.9658,1.0,0.0,0.0,0.035,0.3404
,access; aderant/cms; bookkeeping; budget development; financial reporting; hyperion essbase; ifrs; individual tax returns; microsoft excel; peachtree; quickbooks pro; sql; us gaap principles,['TEMPLE UNIVERSITY'],Bachelor of Business Administration,Accounting,"['Company Name', 'Company Name', 'Company Name']",Mar 2006; Jan 2005; Aug 2002,Current; Mar 2006; Jan 2005,21.42,Senior Accountant; Accountant; Financial Analyst,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,2.0,maintenance and troubleshooting; mechanical,Age 25 to 40 years,True,0.0,0.0,1.0,0.9,0.0,0.1538,0.0541,0.2954
"To obtain a position in the field of civil engineering technician where I can apply and impart the knowledge I have gained through experience and college, as well as to acquire new insight through experience and application.",arcview; autocad; drafting; file maintenance; gps; graphic; inspection; microsoft access; microstation; repairs; supervision; surveys; utilities,"['University of Northern Iowa', 'Hawkeye Community College']",BS; AAS,Construction Management; Civil and Construction Engineering Technology,"['Company Name', 'Company Name', 'Company Name']",August 2007; April 2006; May 1998,Current; August 2007; April 2006,25.67,Engineering Technician; Senior Engineering Technician; Engineering Technician,"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,Network Support Engineer,"Diploma, Bachelor/Honors",At least 3 years,3.0,ccna cisco certified network associate; gpon; hardware networking; iig; isp; it enabled services; olt and onu,Age 25 to 35 years,True,0.0,0.0,1.0,0.9,0.0,0.125,0.1277,0.2976
Extremely motivated to constantly develop my skills and grow professionally. I am confident in my ability to come up with innovative solutions and maintain better software development practices.,amazon web services; c++; computer vision; data analysis; deep learning; java; machine learning; numpy; python; sap; scikitlearn,['V.V.I.T'],B.TECH,,['ACS Solutions Pvt. Ltd.'],May 2018,Ongoing,0.0,SOFTWARE ENGINEER - MACHINE LEARNING,"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),At least 3 years,3.0,brand promotion; campaign management; field supervision; merchandising; promotional activities; trade marketing,,True,0.0,0.0,0.1824,0.5,0.0,0.1724,0.2029,0.1211
"To obtain a position where Teamwork, Integrity and Professionalism are a high standard in the Company's Mission Statement. All while engaging in new challenges and learning experiences.",10key by touch; articles; automation; closing; coaching; customer service; customer support; designing; direction; forklift and crane certification; hand tools; hardware; inventory; iso 9001; law enforcement; leadership; machinery; material management; materials; mechanical; mechanical test equipment; mechanical theory; ms office; ndt level ii; oral; pcs; personnel; pneumatic and hydraulic theory; processes; procurement; programming; progress; quality; quality control; receiving; repairing; repairs; research; robotic systems; safety; scheduling; selfmotivation; shipping; simulation; supervisor; test equipment; troubleshooting; written,"['Monterey Peninsula College', 'San Francisco Police Academy']",General Courses; Technical Diploma,,"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']",05/2014; 04/2013; 11/2007; 10/2006; 11/2004; 07/2001,05/2014; 06/2012; 11/2007; 05/2006; 02/2004,0.0,Equipment Engineering Technician; Mechanical Technician; Operating Engineer / Test Technician; Logistics Coordinator / Sr. Lab Technician; Production Control Analyst; Material/Production Planner,"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),,1.0,,Age 20 to 35 years,False,0.1231,0.1231,0.6225,0.5,0.0,0.0556,0.0492,0.2352
Expertise EDA modeler. I like to learn what my data contains and how well I can model it depending on the problem. I can also leverage different visualization tools to aid the understanding of the extracted data and finally use the required ML algorithm to get an outcome.,base sas; business analysis; credit risk; data analysis; data science; data visualization; machine learning; natural language processing; power bi; python; r; regression analysis; sql; statistical analysis; tableau; time series analysis,"['KVoCT, Pune', 'KVoCT, Pune']",B.CA; M.CA,,['Passionate Solution'],Feb 2020,Ongoing,0.0,Jr. Data Scientist,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,Executive - VAT,BBA in Accounting and Finance,1 to 3 years,1.0,vat and tax,,True,0.0,0.0,0.6225,0.2,0.0,0.0476,0.3444,0.143
"Dedicated and well-rounded software engineer with a passion for math, computer science, and elite education. Bringing 12+ years of teaching expertise to help Amazon's Career Fulfillment students feel the same joy and pride in my comprehensive JavaScript computer science program as my past 150+ high school students. Eager to teach the basics, get students the tools they need, and foster their passion to reach their goals.",algorithm design; css; data analysis; git; html; interpersonal communication; javascript angular; patience; python; technical writing,"['Princeton International School of Mathematics and Science', 'New York University']",Master of Science; Bachelor of Science,Computer Science; Computer Science,"['Princeton International School of Mathematics and Science', 'HKA Enterprises', 'Academy of Mine']",2017; 2014; 2012,current; 2017; 2014,12.0,Computer Science Teacher; Software Engineer; Junior Software Engineer,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,2.0,maintenance and troubleshooting; mechanical,Age 25 to 40 years,True,0.0,0.0,1.0,1.0,0.0,0.2143,0.0678,0.3141
,business intelligence; data analytics; data manipulation; data mining; data modeling; data reporting; data validation; econometrics; ifrs; machine learning; oracle; problem solving; r programming; scorecard; sql,"['Shaheed Bhagat Singh College (M), University of Delhi', 'Indian Statistical Institute (ISI), Delhi']",B.A (Economics); MSc (Economics),Economics; Economics,['Home Credit India Finance'],Nov 2019,Till Date,4.17,Finance Technology Expert,"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",,Sr.Officer / Executive - Internal Audit,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm",2 to 4 years,2.0,having cacc from reputed ca firm; internal audit and compliance,,True,0.0,0.0,0.9752,1.0,0.0,0.0769,0.0579,0.303
,application support; c; c++; css; deep learning; docker; hive; html; javascript; machine learning; python; requirement gathering; risk assessment; software development,"['Birla Institute of Technology (BIT), Ranchi']",B.Tech,Electronics/Telecommunication,['Axis Bank Limited'],June 2018,Till Date,5.59,Software Developer (Machine Learning Engineer),"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",,Management Trainee - Mechanical,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,,1.0,computer skill; good communication skills; mechanical engineering; quick learner and hard working,Age at least 22 years,True,0.0,0.0,0.9977,1.0,0.0,0.0968,0.1163,0.3103
,2000; api; approach; atl; audio; backup; broadcast; c#; c++; ca; cli; clients; com; concept; content; documentation; drawing; dynamic html5; editing; explorer; ftp; functional; gui; hardware; http; ids; innovation; ip; javascript; json; lan; mb; mfc; migration; nas; object oriented programming; office; page; proxy; rendering; san; scrum; servers; specification; team management; threads; troubleshoot; video; video editing; visual c++; win; windows; workflow; writer; xml,"['Illinois Institute of Technology', 'National Institute of Technology']",M.S; B.E,Computer Science; Electronics and Communication Engineering,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",September 2009; November 2005; August 1997; August 1994,Current; August 2009; October 2005; July 1997,29.16,Software Engineering Manager; Software Engineering Manager; Principal Software Engineer; Software Engineer,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,At least 5 year(s),5.0,,,False,0.3901,0.3901,1.0,0.5,0.0,0.0857,0.156,0.4321
,artificial intelligence; data modeling; data validation; data visualization; deep learning; machine learning; matplotlib; method development; mongodb; plotly; python; seaborn; sql,['CDAC ACTS'],B.Tech,Electronics and Telecommunication,['BlueM Solutions'],Jun 2020,till date,3.58,Associate Software Engineer and Analyst,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,1.0,python; pytorch; r or java; scikitlearn.; tensorflow,,True,0.1667,0.2,0.9834,1.0,0.0,0.0357,0.0619,0.3924
